CustomerID,CustomerName,Email,Phone,City,State,Country,PostalCode,RegistrationDate,CustomerTier,AgeGroup
1,Megan Mcclain,garzaanthony@example.org,538.990.8386,North Judithbury,IN,United States,77737,2023-03-24,Platinum,46-55
2,Gina Moore,curtis61@example.com,(794)507-8161x849,Lisatown,Wisconsin,United Kingdom,92850,2023-04-25,Bronze,26-35
3,Jamie Chavez,francisco53@example.net,719-228-3276x483,North Donnaport,CO,United States,30522,2023-08-16,Gold,36-45
4,Latoya Robbins,dianafoster@example.net,724.523.8849x696,Port Leslieview,California,Germany,18632,2023-07-13,Bronze,56+
5,Rebecca Henderson,cruzcaitlin@example.com,648.401.8451x46270,Daviston,Delaware,France,67043,2023-04-14,Bronze,26-35
6,Phillip Ryan,georgetracy@example.org,(443)903-9117x182,Port Colleenhaven,PA,United States,72564,2023-06-24,Bronze,36-45
7,Daniel Ryan,jenniferross@example.net,+1-557-587-1331x5098,West Allison,NT,Canada,01443,2025-03-19,Bronze,36-45
8,Andrea Young,ilewis@example.net,001-897-737-6311,Lake Crystalbury,CA,United States,56020,2022-10-07,Bronze,26-35
9,Maria Brown,lauren13@example.org,387.926.2473,Owenston,BC,Canada,72633,2025-07-01,Silver,26-35
10,Tammy Allison,richardolson@example.com,9264064746,North Deniseside,AB,Canada,25391,2022-09-11,Silver,18-25
11,Erik Williams,hshaw@example.org,3815219136,Jeffton,Pennsylvania,United Kingdom,76381,2024-12-09,Bronze,18-25
12,Dean Santiago,john62@example.net,+1-647-451-0799x1183,New Christophershire,Oregon,Australia,46246,2024-11-09,Platinum,46-55
13,Lisa Archer,contrerasangela@example.net,524-711-8244,East Mikeburgh,NV,United States,27186,2024-12-10,Bronze,46-55
14,Jeff Hill,cookdavid@example.com,(278)768-0112,Williamview,NU,Canada,76851,2022-11-06,Bronze,36-45
15,Rebecca Valencia,jason31@example.com,001-686-492-3226x02563,South David,ME,United States,92418,2024-03-08,Gold,26-35
16,Julia Torres,jeffreykeller@example.com,641-245-8685x01429,South Monicafort,Iowa,United Kingdom,14709,2023-06-26,Bronze,36-45
17,Kayla Cruz,jonathanfletcher@example.org,783.856.1595x14846,Reedmouth,NL,Canada,91885,2024-06-27,Bronze,56+
18,Megan Orr,richard04@example.com,969.495.7773,Angelaborough,Nebraska,Germany,86857,2025-06-17,Gold,56+
